Dia,"Cantidad Cielo cubierto 12:00","Cantidad Cielo cubierto 18:00","Cantidad Cielo cubierto 00:00","Cantidad de cielo cubierto Media diaria ",Humedad Relativa del aire 12:00,"Humedad Relativa del aire 18:00","Humedad Relativa del aire 00:00","Humedad Relativa Del aire Media diaria ",T. Minima,"T.Minima Hora Local",T. Maxima,"T. maxima Hora Local","Temperatura Media diaria","Viento PredominanteDirección","Viento predominante Fuerza","Presion QFE 12","Presion QFE 18","Presion QFE 00","Presion QFE Media diaria ","Precipitación (12-18)","Precipitación (18-00)","Precipitación (00-06)","Precipitación (06-12)","Precipitación Diaria"
7-5-2023,8.0,3.0,0.0,3.7,98.0,71.0,92.0,89.8,10.4,05:54,17.2,14:44,13.0,225,5.5,1020.3,1019.0,1018.6,1019.3,0.0,0.0,0.0,0.0,0.0
8-5-2023,1.0,7.0,7.0,5.0,91.0,65.0,87.0,83.5,5.4,05:48,16.9,15:52,10.5,180,6.5,1018.4,1017.7,1017.1,1017.7,0.0,0.0,0.0,0.0,0.0
9-5-2023,3.0,2.0,1.0,2.0,93.0,48.0,82.0,79.0,7.7,07:49,20.4,13:53,12.6,180,5.7,1018.9,1016.7,1017.6,1017.7,0.0,0.0,0.0,0.0,0.0
10-5-2023,7.0,7.0,2.0,5.3,98.0,83.0,95.0,93.5,8.5,07:42,16.8,15:40,11.8,225,5.5,1018.0,1017.7,1018.4,1018.0,0.0,0.0,0.0,0.0,0.0
11-5-2023,4.0,6.0,2.0,4.0,99.0,64.0,93.0,88.8,7.7,05:09,20.0,14:29,12.6,180,6.2,1019.6,1019.0,1018.7,1019.1,0.0,0.0,0.0,0.0,0.0
12-5-2023,3.0,0.0,0.0,1.0,99.0,73.0,97.0,92.0,10.2,04:20,20.7,13:55,14.5,180,5.2,1018.8,1017.5,1016.7,1017.7,0.0,0.0,0.0,0.2,0.2
13-5-2023,5.0,5.0,0.0,3.3,99.0,69.0,92.0,89.8,10.8,05:57,19.4,14:31,14.5,225,8.4,1015.4,1013.8,1012.9,1014.0,0.0,0.0,0.0,0.0,0.0
14-5-2023,0.0,7.0,8.0,5.0,89.0,93.0,90.0,90.2,10.5,07:04,18.7,11:40,13.1,180,6.4,1009.7,1011.1,1015.5,1012.1,0.0,0.0,0.0,0.0,0.0
15-5-2023,8.0,8.0,8.0,8.0,92.0,89.0,97.0,92.5,13.6,20:44,16.0,12:06,14.4,0,9.2,1015.9,1017.0,1017.6,1016.8,0.0,0.0,0.0,0.0,0.0
16-5-2023,8.0,8.0,8.0,8.0,94.0,76.0,99.0,90.8,13.3,07:46,16.6,13:43,14.2,0,5.0,1016.9,1015.3,1016.7,1016.3,0.0,0.4,0.0,0.0,0.4
17-5-2023,6.0,7.0,4.0,5.7,83.0,65.0,86.0,79.2,10.7,05:10,16.5,13:04,12.6,225,5.2,1019.1,1019.8,1021.4,1020.1,0.0,0.0,0.0,0.0,0.0
18-5-2023,4.0,7.0,8.0,6.3,96.0,71.0,97.0,90.0,5.3,07:17,15.5,14:37,10.3,180,4.9,1018.9,1018.4,1019.7,1019.0,0.0,0.0,0.0,0.0,0.0
19-5-2023,1.0,1.0,0.0,0.7,100.0,64.0,85.0,87.2,6.4,07:35,15.8,14:34,11.2,180,5.6,1022.3,1021.4,1019.4,1021.0,0.0,0.0,0.0,0.0,0.0
20-5-2023,8.0,7.0,8.0,7.7,97.0,70.0,86.0,87.5,2.6,05:52,13.7,13:25,8.0,0,8.0,1016.2,1013.6,1012.5,1014.1,0.0,0.0,1.8,21.2,23.0
21-5-2023,8.0,8.0,6.0,7.3,94.0,97.0,99.0,96.0,11.0,04:07,13.3,18:43,12.2,0,16.8,1009.8,1010.7,1011.7,1010.7,0.2,0.0,3.8,0.0,4.0
22-5-2023,8.0,8.0,8.0,8.0,97.0,88.0,94.0,94.0,9.3,04:18,14.0,11:29,12.3,0,8.7,1013.7,1012.4,1010.6,1012.2,0.2,0.0,6.6,8.6,15.4
23-5-2023,6.0,2.0,5.0,4.3,84.0,77.0,93.0,84.5,11.0,07:55,15.6,12:12,13.1,0,12.9,1012.4,1013.9,1015.2,1013.8,0.0,0.0,0.0,17.4,17.4
24-5-2023,8.0,7.0,8.0,7.7,99.0,97.0,97.0,98.0,10.0,06:58,15.0,15:57,12.3,0,11.0,1014.9,1015.3,1017.0,1015.7,3.4,0.0,1.0,0.0,4.4
25-5-2023,8.0,6.0,6.0,6.7,99.0,83.0,93.0,93.5,9.0,02:52,14.7,13:36,11.9,0,9.5,1016.1,1015.6,1016.0,1015.9,0.0,0.0,2.8,0.0,2.8
26-5-2023,6.0,7.0,5.0,6.0,91.0,69.0,78.0,82.2,11.9,06:43,14.5,11:13,12.9,225,6.9,1018.9,1022.6,1025.4,1022.3,1.0,0.0,0.0,0.0,1.0
27-5-2023,2.0,1.0,3.0,2.0,92.0,60.0,83.0,81.8,3.8,07:50,12.6,13:25,8.8,180,6.1,1022.3,1020.1,1020.5,1021.0,0.0,0.0,0.0,0.0,0.0
28-5-2023,6.0,8.0,8.0,7.3,90.0,66.0,85.0,82.8,2.6,06:53,11.1,13:42,6.5,180,4.8,1021.0,1018.9,1019.5,1019.8,0.0,0.0,0.0,0.0,0.0
29-5-2023,0.0,7.0,6.0,4.3,98.0,69.0,85.0,87.5,2.9,07:48,13.3,16:31,8.3,180,5.9,1020.7,1018.8,1018.4,1019.3,0.0,0.0,0.0,0.0,0.0
30-5-2023,7.0,5.0,8.0,6.7,92.0,72.0,92.0,87.0,5.3,06:22,14.3,13:55,9.3,135,3.6,1017.5,1017.0,1016.9,1017.1,0.0,1.4,3.0,0.0,4.4
31-5-2023,8.0,5.0,,,96.0,68.0,97.0,89.2,10.9,23:18,17.1,12:53,12.9,135,3.8,1020.0,1019.3,1018.1,1019.1,0.0,0.0,0.0,0.0,0.0
1-6-2023,9.0,6.0,8.0,7.7,99.0,88.0,98.0,96.0,7.5,06:34,13.8,13:51,10.5,180,5.2,1011.2,1011.6,1010.7,1011.2,0.0,5.4,2.6,0.0,8.0
2-6-2023,8.0,7.0,8.0,7.7,99.0,97.0,100.0,98.8,12.1,04:25,15.5,10:54,13.4,0,8.9,1013.3,1013.9,1015.4,1014.2,0.0,0.0,0.0,0.2,0.2
3-6-2023,8.0,8.0,5.0,7.0,98.0,92.0,98.0,96.5,12.3,00:16,16.0,11:47,13.6,0,13.7,1015.8,1018.2,1022.8,1018.9,2.2,0.2,0.0,0.0,2.4
4-6-2023,2.0,4.0,7.0,4.3,87.0,62.0,91.0,81.8,7.1,07:23,14.2,14:53,10.4,180,6.3,1020.8,1019.2,1019.6,1019.9,0.0,0.0,0.0,0.0,0.0
5-6-2023,3.0,6.0,8.0,5.7,98.0,75.0,95.0,91.5,5.8,07:52,15.4,13:31,10.5,180,3.8,1017.6,1016.8,1016.4,1016.9,0.0,0.0,0.0,1.6,1.6
6-6-2023,8.0,8.0,6.0,7.3,99.0,81.0,79.0,89.5,12.5,22:17,16.0,15:32,13.5,0,6.5,1016.4,1018.0,1017.6,1017.3,2.2,0.0,0.0,0.0,2.2
7-6-2023,7.0,7.0,8.0,7.3,82.0,82.0,95.0,85.2,8.0,05:39,15.4,12:58,11.9,180,5.9,1015.4,1012.9,1014.4,1014.2,0.0,0.0,0.2,0.2,0.4
8-6-2023,8.0,8.0,8.0,8.0,93.0,99.0,95.0,95.0,13.2,20:00,15.6,16:11,13.8,0,17.0,1010.3,1008.8,1012.9,1010.7,25.0,2.2,0.0,0.0,27.2
9-6-2023,5.0,5.0,3.0,4.3,98.0,59.0,83.0,84.5,5.6,07:53,12.6,14:22,9.3,135,2.8,1022.2,1023.3,1023.1,1022.9,0.0,0.0,7.6,0.0,7.6
10-6-2023,0.0,4.0,0.0,1.3,99.0,68.0,86.0,88.0,4.0,07:53,12.2,15:47,8.3,180,5.6,1026.2,1027.0,1028.1,1027.1,0.0,0.0,0.0,0.0,0.0
11-6-2023,0.0,0.0,0.0,0.0,99.0,56.0,77.0,82.8,0.2,08:12,12.0,16:12,6.2,225,6.2,1026.7,1025.6,1025.8,1026.0,0.0,0.0,0.0,0.0,0.0
12-6-2023,0.0,0.0,0.0,0.0,96.0,47.0,53.0,73.0,0.7,06:19,15.7,15:44,7.1,180,8.0,1024.3,1021.8,1021.4,1022.5,0.0,0.0,0.0,0.0,0.0
13-6-2023,4.0,0.0,3.0,2.3,68.0,42.0,86.0,66.0,4.5,08:46,16.9,13:41,9.5,180,8.2,1020.9,1020.6,1021.2,1020.9,0.0,0.0,0.0,0.0,0.0
14-6-2023,2.0,4.0,0.0,2.0,90.0,50.0,86.0,79.0,3.9,05:05,16.8,14:29,8.9,180,5.0,1021.2,1020.2,1020.6,1020.7,0.0,0.0,0.0,0.0,0.0
15-6-2023,3.0,1.0,2.0,2.0,100.0,83.0,90.0,93.2,6.0,06:48,14.7,15:13,10.3,180,4.6,1020.9,1020.0,1020.9,1020.6,0.0,0.0,0.0,0.0,0.0
16-6-2023,2.0,3.0,0.0,1.7,84.0,65.0,55.0,72.0,6.1,07:43,15.8,17:04,10.9,180,8.1,1022.5,1019.8,1017.0,1019.8,0.0,0.0,0.0,0.0,0.0
17-6-2023,3.0,3.0,0.0,2.0,85.0,50.0,70.0,72.5,3.6,07:31,15.3,15:50,9.6,180,7.2,1016.1,1013.9,1013.0,1014.3,0.0,0.0,0.0,0.0,0.0
18-6-2023,7.0,7.0,6.0,6.7,71.0,84.0,75.0,75.2,4.6,03:39,13.2,13:56,9.1,180,6.8,1012.5,1014.7,1015.4,1014.2,0.0,0.0,0.0,0.0,0.0
19-6-2023,8.0,8.0,8.0,8.0,83.0,76.0,74.0,79.0,6.9,01:42,14.3,15:22,10.2,135,8.0,1016.6,1016.4,1016.5,1016.5,0.0,0.0,0.0,0.2,0.2
20-6-2023,8.0,8.0,8.0,8.0,86.0,83.0,98.0,88.2,9.8,06:40,15.0,16:10,12.2,135,6.2,1014.1,1013.6,1014.8,1014.2,0.0,0.0,0.0,0.0,0.0
21-6-2023,7.0,8.0,8.0,7.7,98.0,90.0,97.0,95.8,11.3,03:59,14.4,12:04,12.6,0,10.8,1014.8,1013.9,1013.0,1013.9,0.0,6.0,4.2,0.4,10.6
22-6-2023,8.0,8.0,8.0,8.0,99.0,99.0,98.0,98.8,11.4,20:06,15.5,17:57,13.3,0,17.2,1009.3,1007.8,1011.9,1009.7,14.6,0.8,3.2,9.2,27.8
23-6-2023,8.0,8.0,8.0,8.0,99.0,99.0,99.0,99.0,13.1,03:56,15.5,19:26,14.7,315,12.3,1010.4,1009.6,1009.6,1009.9,7.0,2.2,14.4,6.2,29.8
24-6-2023,8.0,8.0,8.0,8.0,100.0,98.0,99.0,99.2,13.3,07:52,14.2,19:51,14.1,315,13.0,1013.3,1013.7,1012.9,1013.3,2.0,6.6,15.2,12.2,36.0
25-6-2023,8.0,8.0,5.0,7.0,99.0,97.0,92.0,96.8,13.7,18:36,15.9,12:33,14.9,315,10.2,1011.1,1012.5,1015.1,1012.9,2.8,0.0,0.0,0.0,2.8
26-6-2023,6.0,5.0,8.0,6.3,97.0,86.0,93.0,93.2,11.3,06:05,15.1,13:45,13.4,0,7.9,1018.5,1016.7,1016.2,1017.1,0.0,0.0,7.6,0.0,7.6
27-6-2023,5.0,3.0,0.0,2.7,100.0,66.0,95.0,90.2,7.7,06:26,15.1,14:55,11.6,270,5.9,1021.7,1024.3,1026.2,1024.1,0.8,0.0,0.0,0.0,0.8
28-6-2023,3.0,8.0,7.0,6.0,83.0,55.0,83.0,76.0,5.0,03:55,13.0,13:12,9.1,135,7.7,1020.7,1015.8,1019.1,1018.5,0.0,0.0,0.0,0.0,0.0
29-6-2023,7.0,5.0,5.0,5.7,96.0,62.0,86.0,85.0,4.7,04:42,14.2,13:55,8.9,180,5.4,1020.1,1018.7,1018.5,1019.1,0.0,0.0,0.0,0.0,0.0
30-6-2023,5.0,7.0,,,80.0,74.0,95.0,82.2,7.6,06:54,16.3,14:33,11.2,180,4.5,1019.0,1017.6,1017.0,1017.9,0.0,0.0,0.0,0.0,0.0
1-7-2023,6.0,8.0,8.0,7.3,98.0,99.0,99.0,98.5,7.8,08:29,13.4,18:28,10.8,180,4.1,1010.5,1009.6,1012.1,1010.7,0.0,0.2,4.2,15.6,20.0
2-7-2023,8.0,5.0,7.0,6.7,98.0,82.0,97.0,93.8,11.3,07:52,14.6,13:16,12.8,0,10.4,1013.3,1014.3,1016.2,1014.6,0.2,0.0,0.0,0.0,0.2
3-7-2023,6.0,6.0,4.0,5.3,93.0,83.0,81.0,87.5,11.7,02:00,15.0,15:01,12.9,0,8.5,1017.4,1016.7,1016.6,1016.9,0.0,0.0,0.0,11.6,11.6
4-7-2023,8.0,7.0,0.0,5.0,99.0,72.0,94.0,91.0,8.6,08:39,14.7,09:44,12.9,0,14.1,1016.1,1018.7,1021.3,1018.7,0.8,0.0,0.0,0.0,0.8
5-7-2023,7.0,8.0,8.0,7.7,98.0,71.0,98.0,91.2,6.0,04:57,13.2,08:18,8.8,135,3.4,1021.2,1020.3,1020.6,1020.7,0.0,1.2,0.0,0.0,1.2
6-7-2023,7.0,4.0,2.0,4.3,99.0,66.0,93.0,89.2,7.7,07:38,14.0,13:39,10.3,225,4.9,1019.9,1019.3,1018.3,1019.2,0.0,0.0,0.0,0.0,0.0
7-7-2023,8.0,8.0,8.0,8.0,96.0,83.0,80.0,88.8,4.5,06:00,12.0,15:33,7.9,180,5.4,1013.1,1012.2,1011.5,1012.3,0.0,1.6,6.0,6.0,13.6
8-7-2023,2.0,6.0,6.0,4.7,72.0,63.0,84.0,72.8,10.3,22:22,14.0,14:03,12.1,270,7.3,1014.0,1017.7,1019.8,1017.2,0.0,0.0,0.0,0.0,0.0
9-7-2023,2.0,4.0,0.0,2.0,100.0,62.0,85.0,86.8,4.1,06:25,13.1,13:38,8.3,135,3.1,1021.6,1020.2,1020.2,1020.7,0.0,0.0,0.0,0.0,0.0
10-7-2023,5.0,4.0,5.0,4.7,79.0,53.0,64.0,68.8,3.6,05:56,13.8,15:43,7.7,180,5.6,1015.6,1013.3,1011.8,1013.6,0.0,0.0,0.0,0.0,0.0
11-7-2023,6.0,8.0,8.0,7.3,82.0,94.0,97.0,88.8,6.0,22:40,10.0,11:51,8.3,135,6.1,1012.3,1012.7,1013.4,1012.8,0.4,2.8,0.2,0.0,3.4
12-7-2023,0.0,5.0,7.0,4.0,99.0,50.0,79.0,81.8,3.8,07:59,12.4,14:29,9.1,225,5.9,1021.0,1025.1,1026.8,1024.3,0.0,0.0,0.0,0.0,0.0
13-7-2023,3.0,6.0,0.0,3.0,97.0,65.0,82.0,85.2,2.0,05:11,12.0,14:09,6.8,180,5.7,1024.0,1020.0,1018.1,1020.7,0.0,0.0,0.0,0.0,0.0
14-7-2023,7.0,3.0,0.0,3.3,94.0,79.0,77.0,86.0,2.3,04:15,12.6,15:19,6.5,180,4.5,1018.0,1018.3,1020.0,1018.8,0.0,0.0,0.0,0.0,0.0
15-7-2023,0.0,0.0,0.0,0.0,96.0,55.0,84.0,82.8,1.6,08:15,12.8,15:24,7.1,180,6.8,1022.7,1021.6,1021.9,1022.1,0.0,0.0,0.0,0.0,0.0
16-7-2023,4.0,5.0,5.0,4.7,97.0,57.0,67.0,79.5,2.0,07:47,12.3,14:49,6.9,180,5.3,1019.6,1018.1,1017.5,1018.4,0.0,0.0,0.0,0.0,0.0
17-7-2023,7.0,2.0,0.0,3.0,81.0,48.0,86.0,74.0,2.9,05:17,13.7,13:17,7.4,180,4.6,1017.5,1017.7,1019.2,1018.1,0.0,0.0,0.0,0.0,0.0
18-7-2023,7.0,7.0,8.0,7.3,77.0,60.0,63.0,69.2,5.1,01:22,14.3,14:33,8.6,135,5.4,1018.9,1017.3,1016.4,1017.5,0.0,0.0,0.0,0.0,0.0
19-7-2023,8.0,8.0,8.0,8.0,86.0,98.0,99.0,92.2,9.2,00:49,13.6,11:15,11.5,0,9.0,1014.8,1014.2,1013.8,1014.3,0.0,0.2,0.0,0.0,0.2
20-7-2023,8.0,8.0,8.0,8.0,95.0,97.0,99.0,96.5,10.7,02:14,13.7,11:19,12.7,0,14.8,1009.5,1006.8,1004.9,1007.1,1.4,18.2,19.8,6.6,46.0
21-7-2023,6.0,8.0,8.0,7.3,95.0,77.0,98.0,91.2,12.4,07:48,14.9,10:37,13.4,0,10.3,1007.9,1008.9,1009.0,1008.6,1.2,2.4,4.6,1.8,10.0
22-7-2023,8.0,4.0,1.0,4.3,85.0,71.0,90.0,82.8,9.5,03:38,14.5,14:36,11.9,0,4.4,1014.0,1017.8,1022.7,1018.2,0.0,0.0,0.0,0.0,0.0
23-7-2023,8.0,8.0,2.0,6.0,94.0,84.0,95.0,91.8,6.2,04:35,12.0,16:14,9.1,135,5.6,1020.4,1019.0,1021.1,1020.2,0.0,0.0,0.0,0.0,0.0
24-7-2023,4.0,7.0,8.0,6.3,99.0,80.0,96.0,93.5,5.0,07:56,13.0,15:02,8.3,0,10.9,1021.3,1020.1,1017.9,1019.8,0.0,1.4,0.8,3.0,5.2
25-7-2023,5.0,7.0,6.0,6.0,82.0,80.0,98.0,85.5,10.7,07:19,13.9,12:32,12.0,270,8.0,1018.6,1020.4,1023.4,1020.8,0.0,0.4,0.0,0.0,0.4
26-7-2023,7.0,7.0,3.0,5.7,96.0,78.0,95.0,91.2,5.9,07:00,13.2,16:40,8.8,180,6.4,1022.1,1018.1,1019.1,1019.8,0.0,0.0,0.0,0.0,0.0
27-7-2023,6.0,6.0,4.0,5.3,99.0,70.0,97.0,91.2,6.8,02:36,16.2,13:39,10.3,360,0.0,1021.2,1021.5,1022.1,1021.6,0.0,0.0,0.0,0.0,0.0
28-7-2023,3.0,7.0,8.0,6.0,97.0,75.0,97.0,91.5,9.0,06:34,17.3,15:06,12.1,180,5.4,1020.5,1019.0,1018.3,1019.3,0.0,0.0,0.0,0.0,0.0
29-7-2023,8.0,6.0,8.0,7.3,100.0,92.0,100.0,98.0,9.8,07:05,17.6,13:25,12.1,361,2.4,1019.2,1017.4,1018.1,1018.2,0.0,0.0,0.0,0.0,0.0
30-7-2023,4.0,8.0,8.0,6.7,100.0,72.0,97.0,92.2,9.9,07:47,18.0,14:25,13.4,135,5.0,1018.7,1016.6,1014.8,1016.7,0.0,0.0,0.0,0.0,0.0
31-7-2023,8.0,6.0,,,99.0,91.0,99.0,97.0,9.3,04:42,14.8,13:49,12.3,0,8.6,1015.8,1017.4,1019.5,1017.6,0.2,0.2,2.0,0.4,2.8
1-8-2023,8.0,1.0,0.0,3.0,99.0,69.0,92.0,89.8,11.6,07:51,16.4,12:51,13.4,0,7.4,1020.5,1020.8,1022.1,1021.1,0.0,0.0,0.0,0.0,0.0
2-8-2023,0.0,0.0,0.0,0.0,98.0,51.0,74.0,80.2,5.0,06:35,15.8,16:03,10.7,180,6.8,1023.9,1022.6,1021.8,1022.8,0.0,0.0,0.0,0.0,0.0
3-8-2023,1.0,0.0,0.0,0.3,76.0,53.0,47.0,63.0,3.6,07:02,14.6,16:14,8.5,180,7.2,1021.1,1020.1,1020.2,1020.5,0.0,0.0,0.0,0.0,0.0
4-8-2023,0.0,0.0,4.0,1.3,65.0,39.0,88.0,64.2,4.8,06:01,16.9,15:27,9.3,180,7.9,1018.2,1014.9,1013.9,1015.7,0.0,0.0,0.0,0.0,0.0
5-8-2023,7.0,7.0,6.0,6.7,73.0,81.0,95.0,80.5,7.0,05:41,13.6,14:10,10.4,135,6.0,1013.2,1013.4,1015.2,1013.9,0.0,0.0,0.0,0.0,0.0
